tid,f_measure,gt_tempo_bpm,pred_tempo_bpm,tempo_ratio,n_gt_beats,n_pred_beats
smc_079,0.9365,193.55,198.77,1.0270,123,129
smc_080,0.5714,35.41,36.14,1.0207,22,20
smc_082,0.9538,115.38,114.84,0.9953,67,63
smc_084,0.0000,44.22,nan,nan,29,0
smc_085,0.2800,55.05,51.68,0.9388,36,14
smc_086,0.8000,69.43,68.00,0.9794,44,36
smc_087,0.5312,103.90,206.72,1.9897,63,129
smc_088,0.6667,60.36,62.26,1.0315,39,27
smc_089,0.7184,84.63,83.35,0.9849,57,46
smc_092,0.9512,128.85,129.20,1.0027,83,81
smc_093,0.8625,131.29,129.20,0.9841,87,73
smc_095,0.8952,80.86,80.75,0.9986,52,53
smc_096,0.8857,107.14,107.67,1.0049,70,70
smc_098,0.7674,101.69,101.33,0.9964,51,35
smc_099,0.7123,56.55,57.42,1.0154,38,35
smc_100,0.6286,63.83,61.52,0.9639,40,30
smc_101,0.9343,115.23,114.84,0.9967,68,69
smc_103,0.6891,109.09,109.96,1.0079,62,57
smc_104,0.0000,67.49,nan,nan,44,0
smc_105,0.1709,129.31,64.20,0.4965,82,35
smc_106,0.5750,62.18,60.80,0.9779,41,39
smc_109,0.5714,65.50,65.42,0.9987,42,28
smc_111,0.4675,93.02,39.75,0.4274,56,21
smc_113,0.5745,45.80,136.00,2.9693,29,65
smc_114,0.6479,61.16,59.40,0.9712,42,29
smc_116,0.0417,68.65,5.95,0.0867,44,4
smc_117,0.6364,59.94,57.42,0.9580,39,27
smc_118,0.3385,60.01,56.48,0.9412,38,27
smc_119,0.3864,56.87,83.35,1.4656,37,51
smc_120,0.8793,92.45,92.29,0.9982,58,58
smc_121,0.4000,34.12,34.22,1.0031,23,12
smc_124,0.5412,65.79,65.42,0.9943,44,41
smc_126,0.8675,64.86,65.42,1.0085,43,40
smc_127,0.5085,59.65,44.94,0.7534,35,24
smc_130,0.5714,45.02,61.89,1.3746,28,21
smc_133,0.7742,66.37,68.00,1.0245,44,49
smc_135,0.6216,76.19,73.83,0.9690,51,23
smc_137,0.8765,125.39,132.51,1.0568,83,79
smc_139,0.4524,41.10,83.35,2.0283,26,58
smc_140,0.5472,98.85,90.67,0.9172,72,34
smc_142,0.3704,80.09,56.79,0.7091,51,30
smc_143,0.5932,87.08,89.10,1.0232,59,59
smc_146,0.6000,58.54,57.74,0.9864,37,23
smc_147,0.7634,99.32,99.38,1.0006,63,68
smc_148,0.0000,70.92,5.65,0.0796,48,2
smc_149,0.3944,73.18,51.17,0.6993,47,24
smc_150,0.9371,113.85,114.84,1.0087,72,71
smc_151,0.7901,138.89,136.00,0.9792,88,74
smc_152,0.9908,84.03,86.13,1.0250,54,55
smc_153,0.8358,96.22,97.51,1.0134,64,70
smc_154,0.5385,56.18,51.42,0.9154,35,17
smc_157,0.7647,78.64,78.30,0.9957,51,51
smc_158,0.3158,42.36,31.32,0.7394,26,12
smc_159,0.4792,95.56,93.12,0.9744,61,35
smc_161,0.7297,61.22,60.80,0.9931,40,34
smc_166,0.8704,80.65,80.75,1.0013,52,56
smc_167,0.5000,35.90,23.93,0.6664,23,13
smc_168,0.0625,34.03,51.68,1.5185,22,10
smc_169,0.7914,169.97,178.21,1.0484,108,79
smc_170,0.8421,73.53,72.79,0.9899,46,49
smc_171,0.5769,52.63,105.47,2.0039,34,70
smc_172,0.4928,76.92,77.13,1.0027,50,19
smc_173,0.5316,40.98,82.03,2.0016,27,52
smc_174,0.1429,81.69,84.72,1.0371,53,17
smc_175,0.1739,35.64,36.14,1.0140,21,2
smc_176,0.3333,80.70,76.00,0.9418,47,13
smc_178,0.5667,36.92,100.35,2.7178,23,37
smc_179,0.5000,41.67,40.06,0.9615,25,15
smc_181,0.3932,61.66,178.21,2.8899,38,79
smc_182,0.8000,71.34,71.78,1.0061,46,39
smc_184,0.7714,60.74,59.40,0.9780,39,31
smc_187,0.0000,32.71,nan,nan,22,0
smc_188,0.9846,47.85,48.30,1.0094,32,33
smc_190,0.7778,55.56,55.57,1.0003,35,37
smc_192,0.2857,32.91,16.43,0.4993,21,7
smc_193,0.8471,72.43,71.78,0.9909,47,38
smc_194,0.0000,58.06,nan,nan,41,0
smc_195,0.7529,174.52,175.19,1.0038,50,35
smc_197,0.2667,36.72,37.18,1.0126,24,21
smc_198,0.7385,100.00,105.47,1.0547,54,76
smc_199,0.3492,76.43,67.12,0.8781,45,18
smc_202,0.0541,55.66,nan,nan,36,1
smc_203,0.3188,68.76,58.73,0.8541,44,25
smc_204,0.2740,98.93,51.17,0.5172,59,14
smc_205,0.9167,78.74,79.51,1.0097,48,48
smc_206,0.6032,71.77,71.78,1.0001,34,29
smc_207,0.9272,113.72,112.35,0.9879,76,75
smc_208,0.4746,54.52,54.98,1.0084,35,24
smc_209,0.6024,72.99,76.00,1.0412,45,38
smc_211,0.3765,83.74,80.75,0.9643,55,30
smc_212,0.0000,40.54,nan,nan,26,0
smc_213,0.4242,65.42,123.05,1.8810,42,57
smc_214,0.1250,45.80,45.33,0.9898,28,4
smc_215,0.7356,57.31,90.67,1.5821,37,50
smc_216,0.3846,62.21,64.20,1.0320,41,11
smc_217,0.7742,53.81,52.47,0.9750,35,27
smc_219,0.7010,91.25,89.10,0.9764,57,40
smc_220,0.7917,72.20,73.30,1.0153,47,49
smc_221,0.2917,52.49,51.68,0.9845,34,14
smc_222,0.5581,48.64,46.56,0.9572,29,14
smc_223,0.6500,60.42,71.78,1.1879,36,44
smc_224,0.3836,63.36,63.80,1.0070,42,31
smc_225,0.4773,44.64,136.00,3.0464,28,60
smc_226,0.6984,55.68,54.40,0.9769,35,28
smc_227,0.5231,64.79,67.12,1.0358,43,22
smc_229,0.8889,75.00,74.90,0.9986,50,49
smc_232,0.7556,149.91,152.00,1.0140,75,60
smc_235,0.5926,64.52,120.19,1.8629,42,39
smc_236,0.6032,63.59,65.42,1.0287,33,30
smc_237,0.6087,64.59,71.28,1.1037,42,27
smc_239,0.3810,48.23,49.22,1.0205,30,12
smc_241,0.4565,75.38,77.13,1.0233,48,44
smc_242,0.8824,78.95,78.30,0.9918,52,50
smc_243,0.7586,51.19,48.75,0.9523,32,26
smc_244,0.3299,109.69,103.36,0.9423,70,27
smc_248,0.6087,97.24,103.36,1.0629,60,32
smc_249,0.9024,68.70,68.91,1.0030,42,40
smc_251,0.8060,116.17,120.19,1.0346,71,63
smc_252,0.9836,92.74,91.47,0.9863,61,61
smc_253,0.6744,65.62,64.60,0.9844,44,42
smc_254,0.1443,99.34,63.80,0.6423,64,33
smc_255,0.8861,63.91,63.80,0.9983,43,36
smc_256,0.6829,67.87,68.00,1.0019,41,41
smc_257,0.4906,155.24,80.75,0.5202,77,29
smc_258,0.3299,88.89,100.35,1.1289,60,37
smc_259,0.8000,80.21,80.75,1.0067,32,28
smc_260,0.7928,101.33,103.36,1.0201,61,50
smc_261,0.4000,70.59,39.91,0.5654,36,19
smc_262,0.7717,112.36,107.67,0.9582,72,55
smc_263,0.7500,48.43,48.99,1.0116,29,27
smc_264,0.6186,72.80,74.90,1.0289,48,49
smc_265,0.8602,153.06,156.61,1.0232,93,93
smc_266,0.5833,47.71,47.20,0.9892,31,17
smc_269,0.8358,54.45,54.40,0.9991,36,31
smc_271,1.0000,103.18,103.36,1.0017,69,69
smc_272,0.9655,206.90,206.72,0.9991,130,131
smc_273,1.0000,95.71,95.70,0.9999,64,64
smc_274,0.9787,142.86,143.55,1.0049,93,95
smc_275,1.0000,40.00,40.06,1.0015,27,27
smc_276,0.9960,188.09,191.41,1.0176,126,125
smc_277,0.8493,52.45,52.73,1.0055,34,39
smc_278,0.9855,104.55,103.36,0.9886,69,69
smc_279,1.0000,104.17,103.36,0.9923,69,69
smc_280,0.9730,85.23,84.72,0.9941,54,57
smc_281,0.9268,93.60,93.96,1.0038,62,61
smc_282,0.9841,93.97,93.96,0.9999,63,63
smc_283,0.9298,85.23,86.13,1.0106,56,58
smc_284,0.9524,100.00,99.38,0.9938,60,66
smc_285,1.0000,120.00,120.19,1.0015,80,80
smc_286,0.9915,87.98,87.59,0.9956,59,58
smc_287,1.0000,101.69,101.33,0.9964,68,68
smc_288,0.9925,101.35,101.33,0.9998,66,67
smc_289,0.9848,99.85,99.38,0.9953,66,66
